"GeographyCode","KS106EW0001","KS106EW0002","KS106EW0003","KS106EW0004","KS106EW0005","KS106EW0006","KS106EW0007","KS106EW0008","KS106EW0009","KS106EW0010","KS106EW0011","KS106EW0012","KS106EW0013"
"E01004317",1193,45,144,179,102,40,123,3.77200335289187,12.070410729254,15.0041911148365,8.5498742665549,3.35289186923722,10.3101424979044
"E01004318",630,62,139,182,83,32,119,9.84126984126984,22.0634920634921,28.8888888888889,13.1746031746032,5.07936507936508,18.8888888888889
"E01004319",595,65,116,210,116,62,109,10.9243697478992,19.4957983193277,35.2941176470588,19.4957983193277,10.4201680672269,18.3193277310924
"E01004321",711,54,161,175,92,51,107,7.59493670886076,22.6441631504923,24.6132208157525,12.9395218002813,7.17299578059072,15.0492264416315
"E01004322",502,35,140,133,79,25,102,6.97211155378486,27.8884462151394,26.4940239043825,15.7370517928287,4.9800796812749,20.3187250996016
"E01004323",480,31,92,141,89,27,85,6.45833333333333,19.1666666666667,29.375,18.5416666666667,5.625,17.7083333333333
"E01004324",485,52,97,184,88,51,99,10.7216494845361,20,37.9381443298969,18.1443298969072,10.5154639175258,20.4123711340206
"E01004325",1033,45,127,151,83,26,76,4.35624394966118,12.2942884801549,14.6176185866409,8.03484995159729,2.51694094869313,7.35721200387222
"E01004326",623,35,159,140,86,32,116,5.61797752808989,25.5216693418941,22.4719101123595,13.8041733547352,5.13643659711075,18.6195826645265
"E01032764",643,34,91,105,61,33,67,5.28771384136858,14.1524105754277,16.3297045101089,9.48678071539658,5.13219284603421,10.4199066874028
"E01032765",645,54,123,152,62,47,111,8.37209302325581,19.0697674418605,23.5658914728682,9.61240310077519,7.28682170542636,17.2093023255814
"E01032766",601,37,60,96,58,20,47,6.15640599001664,9.98336106489185,15.973377703827,9.65058236272879,3.32778702163062,7.82029950083195
"E01032767",767,8,70,47,29,5,32,1.04302477183833,9.1264667535854,6.1277705345502,3.78096479791395,0.651890482398957,4.17209908735332
"E01032768",696,10,53,88,71,10,43,1.4367816091954,7.61494252873563,12.6436781609195,10.2011494252874,1.4367816091954,6.17816091954023
"E01032769",593,18,57,105,69,15,45,3.035413153457,9.61214165261383,17.7065767284992,11.6357504215852,2.52951096121417,7.5885328836425
"E01032770",572,32,95,101,69,14,64,5.59440559440559,16.6083916083916,17.6573426573427,12.0629370629371,2.44755244755245,11.1888111888112
"E01032771",546,37,70,97,56,22,36,6.77655677655678,12.8205128205128,17.7655677655678,10.2564102564103,4.02930402930403,6.59340659340659
"E01032772",544,21,120,88,47,22,65,3.86029411764706,22.0588235294118,16.1764705882353,8.63970588235294,4.04411764705882,11.9485294117647
"E01032773",852,57,110,154,111,20,31,6.69014084507042,12.9107981220657,18.075117370892,13.0281690140845,2.34741784037559,3.63849765258216
"E01032774",583,60,96,174,102,34,67,10.2915951972556,16.4665523156089,29.8456260720412,17.4957118353345,5.83190394511149,11.4922813036021
"E01032775",600,13,39,86,63,3,24,2.16666666666667,6.5,14.3333333333333,10.5,0.5,4
"E01032776",631,15,81,71,56,7,17,2.37717908082409,12.8367670364501,11.2519809825674,8.87480190174326,1.10935023771791,2.69413629160063
"E01032777",514,25,56,122,62,16,31,4.86381322957198,10.8949416342412,23.7354085603113,12.0622568093385,3.11284046692607,6.03112840466926
