"GeographyCode","QS801EW0001","QS801EW0002","QS801EW0003","QS801EW0004","QS801EW0005","QS801EW0006","QS801EW0007","QS801EW0008","QS801EW0009","QS801EW0010","QS801EW0011","QS801EW0012","QS801EW0013"
"E00021467",371,186,0,0,2,4,19,28,51,13,14,28,26
"E00021468",265,161,0,0,1,7,3,15,19,16,10,24,9
"E00021469",446,247,0,0,4,6,13,34,49,20,30,28,15
"E00021470",282,169,0,2,5,4,9,17,17,12,12,22,13
"E00021471",373,242,0,0,3,4,10,30,29,7,13,22,13
"E00021473",422,218,0,0,1,5,14,25,40,20,18,24,57
"E00021474",402,195,0,0,3,11,22,42,33,15,25,30,26
"E00021475",377,174,1,2,1,7,17,47,21,20,19,38,30
"E00021476",406,225,1,0,2,3,10,24,27,16,34,38,26
"E00021477",460,299,0,2,2,3,10,33,28,19,21,27,16
"E00021478",333,216,0,0,3,6,13,24,20,4,16,19,12
"E00021479",411,198,0,0,0,0,8,18,49,18,41,48,31
"E00021480",303,182,0,0,1,1,7,13,16,11,17,40,15
"E00021481",413,231,0,0,4,8,6,35,22,26,26,26,29
"E00021482",455,284,0,2,1,10,10,38,17,10,33,33,17
"E00021483",600,307,0,0,5,6,14,24,35,38,64,76,31
"E00021484",364,239,0,0,0,5,9,18,17,6,18,31,21
"E00021485",330,169,0,0,3,2,13,34,46,21,14,20,8
"E00021486",387,217,0,0,9,8,11,27,31,16,20,33,15
"E00021487",220,134,0,0,1,2,4,17,19,10,24,9,0
"E00021488",444,244,0,0,2,8,11,35,44,20,29,34,17
"E00021489",346,189,1,2,2,2,13,15,43,24,15,30,10
"E00021490",306,178,1,0,1,4,11,26,29,21,19,9,7
"E00021491",285,164,0,0,2,3,4,31,30,19,11,16,5
"E00021492",372,191,0,0,5,9,16,35,42,17,13,26,18
"E00021493",481,276,0,0,4,8,19,65,49,21,19,16,4
"E00021494",546,336,1,1,9,16,38,47,35,13,13,26,11
"E00021495",609,319,0,0,5,15,30,56,65,18,33,46,22
"E00021496",360,194,0,0,8,7,12,46,45,15,14,15,4
"E00021497",517,279,0,0,2,7,35,62,54,17,26,26,9
"E00021498",389,212,0,0,4,3,10,38,57,16,19,16,14
"E00021499",310,217,0,0,2,3,2,13,18,6,15,19,15
"E00021500",319,214,0,0,3,7,7,18,28,10,12,13,7
"E00021501",304,160,0,2,5,8,5,30,27,24,14,14,15
"E00021502",375,219,0,0,4,8,21,48,37,12,8,14,4
"E00021503",393,216,3,0,2,3,11,29,63,19,16,19,12
"E00021504",399,223,0,2,0,3,7,42,44,17,23,28,10
"E00021505",312,185,1,0,1,14,14,30,13,15,7,16,16
"E00021506",317,162,0,0,4,3,3,29,35,22,21,26,12
"E00021507",376,191,0,2,7,11,9,24,34,13,24,48,13
"E00021508",395,211,0,1,2,1,4,24,25,17,21,42,47
"E00021509",517,270,1,5,9,13,8,37,40,25,30,53,26
"E00021510",240,91,0,0,1,6,4,1,30,23,23,30,31
"E00021511",205,74,0,1,1,1,5,2,12,25,20,32,32
"E00021516",252,152,0,0,6,6,10,24,12,4,6,18,14
"E00021517",304,172,0,0,0,1,12,18,22,13,21,28,17
"E00021518",337,163,1,0,2,6,17,12,19,20,35,41,21
"E00021519",463,280,0,0,1,2,8,7,32,16,31,43,43
"E00021520",216,102,0,0,0,2,4,3,18,15,24,31,17
"E00021521",259,207,0,0,2,2,1,10,13,10,5,9,0
"E00021522",468,259,0,0,3,8,31,71,36,15,19,16,10
"E00021524",590,329,0,0,2,10,21,33,30,22,35,72,36
"E00021525",308,120,0,0,1,0,3,10,26,23,30,56,39
"E00021526",342,143,0,0,0,0,6,5,25,29,39,61,34
"E00021527",317,130,0,0,0,1,6,7,16,28,38,53,38
"E00021528",259,206,0,0,0,0,1,14,11,7,10,4,6
"E00021529",192,91,0,0,5,2,7,13,15,11,18,23,7
"E00021531",597,333,0,0,9,14,26,93,30,33,20,25,14
"E00021532",318,145,0,0,1,1,8,11,16,19,40,47,30
"E00021533",242,143,0,0,0,4,4,2,6,17,25,31,10
"E00021534",225,108,0,0,0,6,1,4,15,13,24,30,24
"E00021535",286,163,0,0,2,7,7,8,12,14,23,31,19
"E00021536",282,161,0,0,1,0,2,8,24,10,21,34,21
"E00021537",339,153,0,0,0,4,10,5,20,31,41,46,29
"E00021538",684,348,0,0,3,1,13,9,41,57,68,81,63
"E00021539",252,101,0,0,0,2,3,1,5,23,40,45,32
"E00021541",229,103,0,0,0,0,0,3,15,15,29,32,32
"E00021542",218,72,0,0,0,4,3,3,19,24,42,37,14
"E00021543",270,115,0,0,0,2,3,8,12,21,37,46,26
"E00021544",180,96,0,0,0,3,5,9,11,15,19,12,10
"E00021546",196,80,0,0,0,6,1,0,17,18,26,29,19
"E00021547",278,143,0,1,5,5,8,23,26,18,15,23,11
"E00021549",386,194,0,0,2,4,11,37,36,19,25,36,22
"E00021550",403,257,1,1,2,8,6,34,27,23,12,23,9
"E00021552",241,127,0,1,1,4,15,16,21,13,13,19,11
"E00021553",349,214,0,0,4,10,12,27,26,18,20,13,5
"E00021554",259,147,0,2,0,4,8,7,15,15,25,22,14
"E00021555",447,247,0,0,3,3,11,41,39,24,26,37,16
"E00021556",285,119,0,0,0,1,5,6,21,18,33,42,40
"E00021557",340,127,0,2,0,3,3,12,37,21,46,56,33
